nohup: ignoring input
Station USW00014764 with lat 43.642 and lon -70.304
1960-02-19: 2.75 in
1962-12-06: 3.13 in
1965-02-25: 3.21 in
1966-01-30: 2.04 in
1966-02-25: 1.53 in
1966-12-29: 1.78 in
1967-02-23: 1.60 in
1967-12-03: 2.00 in
1967-12-12: 1.51 in
1968-12-04: 2.18 in
1968-12-15: 1.52 in
1969-02-09: 1.90 in
1969-12-26: 2.58 in
1969-12-27: 1.68 in
1970-12-17: 1.77 in
1971-02-08: 1.74 in
1971-02-13: 1.71 in
1973-02-02: 1.72 in
1973-12-17: 2.88 in
1975-12-10: 2.39 in
1975-12-26: 2.74 in
1977-01-10: 3.56 in
1977-12-14: 1.61 in
1977-12-21: 1.58 in
1979-01-21: 2.78 in
1979-02-26: 1.95 in
1981-02-24: 1.69 in
1981-02-25: 2.24 in
1982-01-04: 1.66 in
1983-12-13: 2.97 in
1986-12-03: 1.74 in
1986-12-25: 1.87 in
1990-12-04: 3.50 in
1992-01-23: 1.95 in
1993-12-21: 1.76 in
1994-12-24: 2.99 in
1998-02-18: 2.30 in
1999-01-15: 1.80 in
2000-12-17: 2.22 in
2005-12-16: 1.96 in
2008-02-13: 2.54 in
2010-02-25: 3.83 in
2012-12-18: 3.50 in
2014-12-09: 1.95 in
2015-01-27: 2.37 in
2016-01-10: 2.04 in
2016-12-29: 1.59 in
2019-01-24: 1.55 in
2019-12-14: 3.40 in
2019-12-30: 1.60 in
2020-12-05: 1.99 in
2022-02-04: 1.59 in
2023-01-26: 1.95 in
2023-12-11: 1.99 in
2024-01-10: 2.10 in
2024-01-13: 2.43 in
2024-12-11: 2.33 in

Station USW00014745 with lat 43.205 and lon -71.503
1960-01-03: 1.23 in
1962-12-06: 1.66 in
1965-02-25: 1.29 in
1966-12-29: 1.25 in
1967-12-03: 1.21 in
1967-12-12: 1.42 in
1968-12-04: 1.44 in
1968-12-15: 1.25 in
1969-12-26: 1.65 in
1969-12-27: 2.01 in
1970-02-03: 1.70 in
1973-02-02: 1.30 in
1973-12-17: 1.57 in
1973-12-21: 1.45 in
